,ID,Item Description,Weight,Delivery_Date,Destination_Country,destination_iso_country,Manufacturing_site,Mode,source,departure,source_mode,arrival,destination,destination_mode,total_num_of_transports,dist_arrival_to_destination,dist_departure_to_arrival,dist_source_to_departure,emissions_source_to_departure,emissions_departure_to_arrival,emissions_arrival_to_destination,total_emissions
0,12973,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",0.021,12-06-2012,Haiti,HT,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9147.847818,13.45632371,0.05962497,7.876296971,0.023814966,7.959736907
1,50971,"Lamivudine/Stavudine 30/6mg, dispersible tablets, 60 Tabs",0.026,12-06-2012,Haiti,HT,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9147.847818,13.45632371,0.073821392,9.751605774,0.029485196,9.854912362
2,13020,"Malaria Antigen P.f Kit, 30 x 1 Test",0.001,30-01-2012,Haiti,HT,Premier Medical Corporation,Air,POINT (34.04669800000005 -118.24196099999995),POINT (33.922798 -118.334999),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,3014.74998,12.78611108,0.002697869,0.123604749,0.001134046,0.127436665
3,61521,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",0.714,06-12-2012,Haiti,HT,"Alere Medical Co., Ltd.",Air,POINT (39.71314800000005 -105.13449399999996),POINT (39.64390182495117 -105.26799774169922),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,2442.702983,15.8510321,2.38802139,71.50768712,0.809708849,74.70541736
4,72300,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",0.046,27-03-2012,Haiti,HT,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,4842.550928,,,9.133051051,0.052166116,9.185217167
5,79193,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",0.024,08-08-2012,Haiti,HT,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,4842.550928,,,4.765070114,0.027217104,4.792287218
6,83022,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",0.02,28-03-2012,Haiti,HT,Mylan (formerly Matrix) Nashik,Air,POINT (19.99727000000007 73.79096000000004),POINT (19.8841 73.84056666670001),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8925.532121,10.06704612,0.042482935,7.318936339,0.02268092,7.384100194
7,83094,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",3.809,14-11-2012,Haiti,HT,Mylan (formerly Matrix) Nashik,Air,POINT (19.99727000000007 73.79096000000004),POINT (19.8841 73.84056666670001),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8925.532121,10.06704612,8.090874898,1393.891426,4.319581239,1406.301882
8,84769,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",3.809,14-11-2012,Haiti,HT,Mylan (formerly Matrix) Nashik,Air,POINT (19.99727000000007 73.79096000000004),POINT (19.8841 73.84056666670001),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8925.532121,10.06704612,8.090874898,1393.891426,4.319581239,1406.301882
9,85235,"Abacavir 300mg, tablets, 60 Tabs",9.635,12-03-2012,Haiti,HT,Mylan (formerly Matrix) Nashik,Air,POINT (19.99727000000007 73.79096000000004),POINT (19.8841 73.84056666670001),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8925.532121,10.06704612,20.46615375,3525.897581,10.92653327,3557.290268
